YEAR,GRADE,family,n,loglik,aic,bic,tau,rho,df,lambda_lower,lambda_upper,converged,best_aic
2023,6,t,6143,2222.9289,-4441.8579,-4428.4118,0.5109,,38.0297,0.0157,0.0157,TRUE,TRUE
2023,6,frank,6143,2178.5723,-4355.1445,-4348.4215,0.5238,0.7216,,0,0,TRUE,FALSE
2023,6,gaussian,6143,2219.7105,-4437.421,-4430.6979,0.5098,0.7012,,0,0,TRUE,FALSE
2022,5,t,6822,2738.5625,-5473.125,-5459.4692,0.5344,,44.8674,0.0127,0.0127,TRUE,TRUE
2022,5,frank,6822,2716.8681,-5431.7363,-5424.9084,0.5501,0.7502,,0,0,TRUE,FALSE
2022,5,gaussian,6822,2736.7605,-5471.521,-5464.6931,0.5335,0.7273,,0,0,TRUE,FALSE
2021,3,t,7849,2874.9391,-5745.8782,-5731.9419,0.5135,,62.9592,0.0021,0.0021,TRUE,FALSE
2021,3,frank,7849,2929.2694,-5856.5389,-5849.5707,0.5347,0.7336,,0,0,TRUE,TRUE
2021,3,gaussian,7849,2876.3507,-5750.7014,-5743.7333,0.5129,0.7046,,0,0,TRUE,FALSE
2022,4,t,8289,3508.6981,-7013.3961,-6999.3508,0.5464,,66.4426,0.0032,0.0032,TRUE,FALSE
2022,4,frank,8289,3512.8283,-7023.6566,-7016.6339,0.564,0.7649,,0,0,TRUE,TRUE
2022,4,gaussian,8289,3510.4689,-7018.9379,-7011.9152,0.546,0.7406,,0,0,TRUE,FALSE
2023,5,t,7246,2890.3385,-5776.677,-5762.9006,0.5325,,124.2474,0,0,TRUE,FALSE
2023,5,frank,7246,2875.89,-5749.78,-5742.8918,0.5487,0.7487,,0,0,TRUE,FALSE
2023,5,gaussian,7246,2890.6155,-5779.231,-5772.3428,0.5322,0.7258,,0,0,TRUE,TRUE
2024,6,t,6921,2715.0036,-5426.0073,-5412.3226,0.5291,,61.0986,0.0033,0.0033,TRUE,FALSE
2024,6,frank,6921,2782.2053,-5562.4106,-5555.5683,0.5522,0.7525,,0,0,TRUE,TRUE
2024,6,gaussian,6921,2716.3883,-5430.7767,-5423.9344,0.5285,0.7218,,0,0,TRUE,FALSE
2025,7,t,7419,2441.0326,-4878.0653,-4864.2417,0.4906,,44.7506,0.0064,0.0064,TRUE,FALSE
2025,7,frank,7419,2550.022,-5098.0441,-5091.1323,0.5167,0.7136,,0,0,TRUE,TRUE
2025,7,gaussian,7419,2437.8525,-4873.705,-4866.7932,0.4888,0.6774,,0,0,TRUE,FALSE
2026,8,t,7115,2498.1775,-4992.355,-4978.6151,0.5055,,37.0891,0.0158,0.0158,TRUE,FALSE
2026,8,frank,7115,2593.4108,-5184.8216,-5177.9516,0.5302,0.7287,,0,0,TRUE,TRUE
2026,8,gaussian,7115,2492.816,-4983.632,-4976.762,0.5034,0.694,,0,0,TRUE,FALSE
2024,5,t,7700,3372.7225,-6741.4449,-6727.547,0.5548,,62.7819,0.0049,0.0049,TRUE,FALSE
2024,5,frank,7700,3499.4655,-6996.931,-6989.982,0.5806,0.7818,,0,0,TRUE,TRUE
2024,5,gaussian,7700,3373.9345,-6745.8689,-6738.9199,0.554,0.749,,0,0,TRUE,FALSE
2022,3,t,8045,3298.5117,-6593.0235,-6579.0379,0.5393,,63.1766,0.0035,0.0035,TRUE,FALSE
2022,3,frank,8045,3411.7955,-6821.5911,-6814.5983,0.5642,0.7651,,0,0,TRUE,TRUE
2022,3,gaussian,8045,3299.145,-6596.2899,-6589.2971,0.5385,0.7326,,0,0,TRUE,FALSE
2023,4,t,8381,3561.7969,-7119.5939,-7105.5264,0.5476,,73.6948,0.002,0.002,TRUE,FALSE
2023,4,frank,8381,3747.9879,-7493.9758,-7486.9421,0.5772,0.7784,,0,0,TRUE,TRUE
2023,4,gaussian,8381,3564.6768,-7127.3536,-7120.3199,0.547,0.7417,,0,0,TRUE,FALSE
2025,6,t,6919,2311.7351,-4619.4702,-4605.7862,0.4937,,42.0751,0.0085,0.0085,TRUE,FALSE
2025,6,frank,6919,2356.1681,-4710.3361,-4703.4941,0.5148,0.7115,,0,0,TRUE,TRUE
2025,6,gaussian,6919,2308.4883,-4614.9765,-4608.1345,0.4922,0.6812,,0,0,TRUE,FALSE
2026,7,t,6850,2698.717,-5393.4339,-5379.7699,0.5303,,63.6429,0.0028,0.0028,TRUE,FALSE
2026,7,frank,6850,2788.5089,-5575.0179,-5568.1859,0.5554,0.7559,,0,0,TRUE,TRUE
2026,7,gaussian,6850,2700.636,-5399.2721,-5392.4401,0.5297,0.7231,,0,0,TRUE,FALSE
2024,4,t,9211,4352.1842,-8700.3684,-8686.1121,0.5726,,75.1751,0.0032,0.0032,TRUE,FALSE
2024,4,frank,9211,4607.5975,-9213.1951,-9206.0669,0.6048,0.8057,,0,0,TRUE,TRUE
2024,4,gaussian,9211,4354.4877,-8706.9754,-8699.8473,0.572,0.7676,,0,0,TRUE,FALSE
2025,5,t,8082,2710.0891,-5416.1781,-5402.1833,0.4943,,63.5141,0.0013,0.0013,TRUE,FALSE
2025,5,frank,8082,2889.3408,-5776.6817,-5769.6843,0.5252,0.7231,,0,0,TRUE,TRUE
2025,5,gaussian,8082,2711.2055,-5420.4111,-5413.4137,0.4933,0.6825,,0,0,TRUE,FALSE
2026,6,t,6660,2521.7538,-5039.5076,-5025.8999,0.5208,,172.9353,0,0,TRUE,FALSE
2026,6,frank,6660,2596.1823,-5190.3645,-5183.5607,0.5449,0.7447,,0,0,TRUE,TRUE
2026,6,gaussian,6660,2522.3763,-5042.7526,-5035.9488,0.5206,0.7132,,0,0,TRUE,FALSE
2023,3,t,8714,3982.6162,-7961.2324,-7947.087,0.5647,,78.2601,0.0022,0.0022,TRUE,FALSE
2023,3,frank,8714,4240.1697,-8478.3393,-8471.2666,0.5974,0.7985,,0,0,TRUE,TRUE
