YEAR,GRADE,WIDA_LEVEL,n,kendall,ilearn_pctile_median,p_ilearn_proficient,content
2019,6,WIDA Level 1,310,-0.0035,19.4321,0.0129,MATHEMATICS
2019,6,WIDA Level 2,595,0.0985,23.0791,0.0168,MATHEMATICS
2019,6,WIDA Level 3,1672,0.1902,48.8725,0.0526,MATHEMATICS
2019,6,WIDA Level 4,555,0.1425,69.1676,0.1477,MATHEMATICS
2019,6,WIDA Level 4.3,420,0.13,82.5167,0.3048,MATHEMATICS
2019,6,WIDA Level 5,36,,,,MATHEMATICS
2019,7,WIDA Level 1,325,0.0219,26.1498,0,MATHEMATICS
2019,7,WIDA Level 2,546,-0.0183,27.1254,0.0128,MATHEMATICS
2019,7,WIDA Level 3,1141,0.1601,48.7108,0.0263,MATHEMATICS
2019,7,WIDA Level 4,386,0.0966,68.4408,0.0803,MATHEMATICS
2019,7,WIDA Level 4.3,365,0.1631,82.6829,0.2137,MATHEMATICS
2019,7,WIDA Level 5,101,0.1456,93.9373,0.5941,MATHEMATICS
2019,8,WIDA Level 1,334,0.0989,19.1679,0,MATHEMATICS
2019,8,WIDA Level 2,470,0.013,27.0988,0.0191,MATHEMATICS
2019,8,WIDA Level 3,1015,0.1174,48.867,0.0286,MATHEMATICS
2019,8,WIDA Level 4,346,0.0883,65.1189,0.0723,MATHEMATICS
2019,8,WIDA Level 4.3,425,0.2239,80.1077,0.2071,MATHEMATICS
2019,8,WIDA Level 5,95,0.1918,89.8217,0.4316,MATHEMATICS
2021,3,WIDA Level 1,621,0.1713,9.573,0.0193,MATHEMATICS
2021,3,WIDA Level 2,1192,0.1352,20.631,0.0327,MATHEMATICS
2021,3,WIDA Level 3,3417,0.2505,45.4812,0.1601,MATHEMATICS
2021,3,WIDA Level 4,987,0.0863,68.4257,0.4276,MATHEMATICS
2021,3,WIDA Level 4.3,1368,0.1756,80.6119,0.6462,MATHEMATICS
2021,3,WIDA Level 5,256,0.1303,92.543,0.8672,MATHEMATICS
2021,4,WIDA Level 1,303,0.11,8.1995,0.0033,MATHEMATICS
2021,4,WIDA Level 2,495,0.0564,12.4096,0.0101,MATHEMATICS
2021,4,WIDA Level 3,2209,0.2376,30.6091,0.0471,MATHEMATICS
2021,4,WIDA Level 4,1061,0.076,49.5783,0.1244,MATHEMATICS
2021,4,WIDA Level 4.3,2077,0.1306,64.9331,0.2691,MATHEMATICS
2021,4,WIDA Level 5,1130,0.177,81.3387,0.5425,MATHEMATICS
2021,4,WIDA Level 6,194,0.1511,91.7068,0.768,MATHEMATICS
2021,5,WIDA Level 1,271,0.0555,11.5484,0.0037,MATHEMATICS
2021,5,WIDA Level 2,416,0.0985,12.7768,0.0072,MATHEMATICS
2021,5,WIDA Level 3,1794,0.2103,31.744,0.0201,MATHEMATICS
2021,5,WIDA Level 4,846,0.0696,48.4807,0.0615,MATHEMATICS
2021,5,WIDA Level 4.3,1798,0.1432,64.2557,0.1429,MATHEMATICS
2021,5,WIDA Level 5,958,0.1223,80.7338,0.3132,MATHEMATICS
2021,5,WIDA Level 6,103,0.0588,90.1891,0.5825,MATHEMATICS
2021,6,WIDA Level 1,269,-0.0161,17.2066,0,MATHEMATICS
2021,6,WIDA Level 2,838,0.128,20.9889,0.0048,MATHEMATICS
2021,6,WIDA Level 3,2951,0.2307,50.0286,0.0281,MATHEMATICS
2021,6,WIDA Level 4,614,0.1186,72.7896,0.1026,MATHEMATICS
2021,6,WIDA Level 4.3,502,0.1517,83.0793,0.2351,MATHEMATICS
2021,6,WIDA Level 5,71,0.252,93.6833,0.4789,MATHEMATICS
2021,7,WIDA Level 1,357,-9e-04,19.6675,0,MATHEMATICS
2021,7,WIDA Level 2,790,0.0743,22.5516,0.0025,MATHEMATICS
2021,7,WIDA Level 3,2473,0.2227,48.568,0.0162,MATHEMATICS
2021,7,WIDA Level 4,588,0.0478,69.9279,0.0561,MATHEMATICS
2021,7,WIDA Level 4.3,641,0.1416,80.3024,0.117,MATHEMATICS
2021,7,WIDA Level 5,134,-0.0212,92.7498,0.3657,MATHEMATICS
2021,8,WIDA Level 1,380,0.0548,20.4818,0,MATHEMATICS
2021,8,WIDA Level 2,691,0.0598,27.5137,0.0058,MATHEMATICS
2021,8,WIDA Level 3,1699,0.2125,48.6681,0.0182,MATHEMATICS
2021,8,WIDA Level 4,388,0.0422,68.3599,0.0387,MATHEMATICS
2021,8,WIDA Level 4.3,517,0.0876,78.6498,0.1103,MATHEMATICS
2021,8,WIDA Level 5,141,0.1771,87.8297,0.2411,MATHEMATICS
2021,8,WIDA Level 6,12,,,,MATHEMATICS
2022,3,WIDA Level 1,793,0.1228,12.9561,0.0189,MATHEMATICS
2022,3,WIDA Level 2,1364,0.1718,21.3763,0.0381,MATHEMATICS
2022,3,WIDA Level 3,3385,0.2463,48.7218,0.2399,MATHEMATICS
2022,3,WIDA Level 4,972,0.0655,68.8074,0.5103,MATHEMATICS
2022,3,WIDA Level 4.3,1239,0.1525,81.0065,0.7264,MATHEMATICS
2022,3,WIDA Level 5,292,0.1609,92.5602,0.9315,MATHEMATICS
2022,3,WIDA Level 6,12,,,,MATHEMATICS
2022,4,WIDA Level 1,402,0.0646,9.1167,0.0124,MATHEMATICS
2022,4,WIDA Level 2,589,0.08,13.2738,0.017,MATHEMATICS
2022,4,WIDA Level 3,2186,0.2093,29.0214,0.0535,MATHEMATICS
2022,4,WIDA Level 4,1085,0.0639,48.6244,0.1456,MATHEMATICS
2022,4,WIDA Level 4.3,2330,0.1623,62.6342,0.3223,MATHEMATICS
2022,4,WIDA Level 5,1366,0.1416,78.599,0.5849,MATHEMATICS
2022,4,WIDA Level 6,328,0.1469,91.2152,0.8415,MATHEMATICS
2022,5,WIDA Level 1,447,-0.0022,15.6676,0.0045,MATHEMATICS
2022,5,WIDA Level 2,461,0.0443,13.623,0,MATHEMATICS
2022,5,WIDA Level 3,1798,0.1868,30.1847,0.0217,MATHEMATICS
2022,5,WIDA Level 4,921,0.0598,48.4904,0.0749,MATHEMATICS
2022,5,WIDA Level 4.3,1909,0.1144,63.8722,0.176,MATHEMATICS
2022,5,WIDA Level 5,1115,0.1339,79.0341,0.3713,MATHEMATICS
2022,5,WIDA Level 6,171,0.1865,90.5247,0.6257,MATHEMATICS
2022,6,WIDA Level 1,388,-0.0362,20.0489,0.0026,MATHEMATICS
2022,6,WIDA Level 2,775,0.077,18.5981,0.009,MATHEMATICS
2022,6,WIDA Level 3,3078,0.231,48.2258,0.0296,MATHEMATICS
2022,6,WIDA Level 4,752,0.1063,72.8631,0.141,MATHEMATICS
2022,6,WIDA Level 4.3,667,0.1572,82.6779,0.2279,MATHEMATICS
2022,6,WIDA Level 5,57,0.234,95.0708,0.5965,MATHEMATICS
2022,7,WIDA Level 1,476,-0.0089,21.6588,0,MATHEMATICS
2022,7,WIDA Level 2,877,0.0909,24.5165,0.008,MATHEMATICS
