u,v,C,C_refl,D
0.025,0.025,0.00353,0.00801,-0.00449
0.025,0.05,0.00649,0.01226,-0.00577
0.025,0.075,0.009,0.01522,-0.00622
0.025,0.1,0.01128,0.0173,-0.00602
0.025,0.125,0.01334,0.01884,-0.00551
0.025,0.15,0.01531,0.02002,-0.00471
0.025,0.175,0.01685,0.02097,-0.00412
0.025,0.2,0.01825,0.02166,-0.00341
0.025,0.225,0.0195,0.02218,-0.00268
0.025,0.25,0.02063,0.02266,-0.00203
0.025,0.275,0.02154,0.02313,-0.0016
0.025,0.3,0.02229,0.02347,-0.00118
0.025,0.325,0.02286,0.0237,-0.00084
0.025,0.35,0.02333,0.02391,-0.00058
0.025,0.375,0.02375,0.02409,-0.00034
0.025,0.4,0.02409,0.02422,-0.00013
0.025,0.425,0.0243,0.02434,-4e-05
0.025,0.45,0.02449,0.02445,3e-05
0.025,0.475,0.02461,0.02454,7e-05
0.025,0.5,0.02471,0.02464,7e-05
0.025,0.525,0.0248,0.02474,6e-05
0.025,0.55,0.02485,0.02478,7e-05
0.025,0.575,0.02489,0.02482,7e-05
0.025,0.6,0.02492,0.02486,6e-05
0.025,0.625,0.02494,0.0249,4e-05
0.025,0.65,0.02495,0.02493,2e-05
0.025,0.675,0.02495,0.02494,2e-05
0.025,0.7,0.02496,0.02495,1e-05
0.025,0.725,0.02497,0.02496,1e-05
0.025,0.75,0.02498,0.02496,2e-05
0.025,0.775,0.02498,0.02497,0
0.025,0.8,0.02499,0.02498,1e-05
0.025,0.825,0.02499,0.02499,0
0.025,0.85,0.02499,0.02499,0
0.025,0.875,0.025,0.025,0
0.025,0.9,0.025,0.025,0
0.025,0.925,0.025,0.025,0
0.025,0.95,0.025,0.025,0
0.025,0.975,0.025,0.025,0
0.05,0.025,0.00648,0.01201,-0.00553
0.05,0.05,0.01218,0.01974,-0.00756
0.05,0.075,0.01709,0.0254,-0.00832
0.05,0.1,0.02168,0.0299,-0.00823
0.05,0.125,0.02571,0.03332,-0.00761
0.05,0.15,0.02952,0.03629,-0.00677
0.05,0.175,0.03275,0.03861,-0.00586
0.05,0.2,0.0356,0.04053,-0.00493
0.05,0.225,0.03822,0.04204,-0.00382
0.05,0.25,0.04052,0.04335,-0.00282
0.05,0.275,0.04239,0.04451,-0.00213
0.05,0.3,0.04398,0.04548,-0.0015
0.05,0.325,0.04523,0.04618,-0.00095
0.05,0.35,0.04631,0.04678,-0.00046
0.05,0.375,0.04734,0.04732,1e-05
0.05,0.4,0.04801,0.04777,0.00023
0.05,0.425,0.04849,0.04815,0.00035
0.05,0.45,0.04889,0.04848,0.00041
0.05,0.475,0.04917,0.04867,5e-04
0.05,0.5,0.04938,0.04891,0.00047
0.05,0.525,0.04954,0.04912,0.00042
0.05,0.55,0.04965,0.04924,0.00041
0.05,0.575,0.04973,0.04938,0.00035
0.05,0.6,0.04979,0.04948,3e-04
0.05,0.625,0.04984,0.04959,0.00025
0.05,0.65,0.04989,0.04968,0.00022
0.05,0.675,0.04991,0.04974,0.00017
0.05,0.7,0.04991,0.0498,0.00012
0.05,0.725,0.04994,0.04983,0.00011
0.05,0.75,0.04996,0.04985,0.00011
0.05,0.775,0.04996,0.04991,6e-05
0.05,0.8,0.04997,0.04992,5e-05
0.05,0.825,0.04998,0.04996,2e-05
0.05,0.85,0.04999,0.04997,2e-05
0.05,0.875,0.04999,0.04998,1e-05
0.05,0.9,0.05,0.04998,1e-05
0.05,0.925,0.05,0.04999,1e-05
0.05,0.95,0.05,0.04999,0
0.05,0.975,0.05,0.05,0
0.075,0.025,0.00948,0.01482,-0.00533
0.075,0.05,0.01772,0.02515,-0.00743
0.075,0.075,0.0249,0.0333,-0.0084
0.075,0.1,0.03175,0.04003,-0.00828
0.075,0.125,0.03782,0.04551,-0.00769
0.075,0.15,0.04334,0.05011,-0.00678
0.075,0.175,0.04816,0.054,-0.00584
0.075,0.2,0.05229,0.05727,-0.00499
0.075,0.225,0.05618,0.05985,-0.00367
0.075,0.25,0.05962,0.0621,-0.00248
0.075,0.275,0.06257,0.06424,-0.00167
0.075,0.3,0.06499,0.06598,-0.001
0.075,0.325,0.06713,0.0673,-0.00016
0.075,0.35,0.0688,0.06857,0.00023
0.075,0.375,0.07034,0.0696,0.00074
0.075,0.4,0.07151,0.07049,0.00101
0.075,0.425,0.07237,0.07122,0.00114
0.075,0.45,0.07309,0.07184,0.00125
0.075,0.475,0.07357,0.07226,0.0013
0.075,0.5,0.0739,0.07273,0.00118
0.075,0.525,0.07415,0.07309,0.00106
0.075,0.55,0.07436,0.07335,0.00101
0.075,0.575,0.07452,0.07361,0.00091
0.075,0.6,0.07464,0.07385,8e-04
0.075,0.625,0.07475,0.07402,0.00073
0.075,0.65,0.07483,0.07419,0.00064
0.075,0.675,0.07485,0.07431,0.00055
0.075,0.7,0.07488,0.07441,0.00046
0.075,0.725,0.07491,0.07451,4e-04
0.075,0.75,0.07493,0.07459,0.00034
0.075,0.775,0.07495,0.07468,0.00027
0.075,0.8,0.07497,0.07472,0.00025
0.075,0.825,0.07498,0.0748,0.00018
0.075,0.85,0.07498,0.07482,0.00016
0.075,0.875,0.07499,0.07484,0.00015
0.075,0.9,0.07499,0.07486,0.00013
0.075,0.925,0.07499,0.07489,1e-04
0.075,0.95,0.07499,0.0749,9e-05
0.075,0.975,0.075,0.0749,9e-05
0.1,0.025,0.01196,0.01677,-0.00481
0.1,0.05,0.02247,0.02936,-0.00689
0.1,0.075,0.03173,0.03975,-0.00803
0.1,0.1,0.04063,0.04862,-0.00798
0.1,0.125,0.04857,0.05594,-0.00737
0.1,0.15,0.05588,0.06223,-0.00635
0.1,0.175,0.06232,0.06774,-0.00542
0.1,0.2,0.06801,0.07239,-0.00438
0.1,0.225,0.07322,0.0763,-0.00309
0.1,0.25,0.07785,0.07958,-0.00173
0.1,0.275,0.08183,0.08277,-0.00094
0.1,0.3,0.08527,0.08538,-0.00011
0.1,0.325,0.0883,0.08741,0.00089
0.1,0.35,0.09068,0.08946,0.00122
0.1,0.375,0.0929,0.09106,0.00183
0.1,0.4,0.09455,0.09249,0.00207
0.1,0.425,0.09587,0.09373,0.00214
0.1,0.45,0.09688,0.09474,0.00214
0.1,0.475,0.09762,0.09553,0.00209
0.1,0.5,0.09819,0.09629,0.0019
0.1,0.525,0.09864,0.09688,0.00177
0.1,0.55,0.09901,0.0974,0.00161
0.1,0.575,0.09926,0.09785,0.00141
0.1,0.6,0.09946,0.09823,0.00123
0.1,0.625,0.09958,0.09858,0.00101
0.1,0.65,0.09971,0.09888,0.00083
0.1,0.675,0.09976,0.09911,0.00065
0.1,0.7,0.0998,0.09929,0.00052
0.1,0.725,0.09985,0.09946,0.00039
0.1,0.75,0.09989,0.09959,3e-04
0.1,0.775,0.09991,0.09974,0.00017
0.1,0.8,0.09993,0.09981,0.00012
0.1,0.825,0.09994,0.09992,2e-05
0.1,0.85,0.09995,0.09998,-3e-05
0.1,0.875,0.09995,0.10001,-6e-05
0.1,0.9,0.09996,0.10004,-8e-05
0.1,0.925,0.09996,0.10008,-0.00012
0.1,0.95,0.09996,0.10009,-0.00013
0.1,0.975,0.09997,0.10013,-0.00015
0.125,0.025,0.01394,0.01834,-0.0044
0.125,0.05,0.02642,0.03295,-0.00653
0.125,0.075,0.03767,0.04534,-0.00767
0.125,0.1,0.04836,0.05601,-0.00766
0.125,0.125,0.05828,0.06492,-0.00664
0.125,0.15,0.06729,0.07281,-0.00552
0.125,0.175,0.07531,0.07989,-0.00458
0.125,0.2,0.08263,0.08585,-0.00322
0.125,0.225,0.08926,0.09114,-0.00188
0.125,0.25,0.09531,0.09568,-0.00037
0.125,0.275,0.10042,0.09992,0.00049
0.125,0.3,0.10485,0.10345,0.0014
0.125,0.325,0.1089,0.10634,0.00256
0.125,0.35,0.11209,0.10909,0.003
0.125,0.375,0.115,0.11136,0.00363
0.125,0.4,0.11714,0.11338,0.00376
0.125,0.425,0.11884,0.11521,0.00362
0.125,0.45,0.12023,0.11669,0.00354
0.125,0.475,0.12131,0.11788,0.00343
0.125,0.5,0.12217,0.11898,0.00319
0.125,0.525,0.12285,0.11996,0.00289
0.125,0.55,0.12341,0.12076,0.00265
0.125,0.575,0.12386,0.12149,0.00236
0.125,0.6,0.12412,0.12202,0.0021
0.125,0.625,0.12433,0.12257,0.00177
0.125,0.65,0.12454,0.12302,0.00153
0.125,0.675,0.12464,0.12333,0.0013
0.125,0.7,0.12471,0.1236,0.00111
0.125,0.725,0.12478,0.12385,0.00093
0.125,0.75,0.12484,0.12403,0.00081
0.125,0.775,0.12488,0.12426,0.00062
0.125,0.8,0.12491,0.12438,0.00053
0.125,0.825,0.12496,0.12452,0.00044
0.125,0.85,0.12497,0.12462,0.00036
0.125,0.875,0.12498,0.12467,0.00031
0.125,0.9,0.125,0.12473,0.00027
0.125,0.925,0.12501,0.12479,0.00023
0.125,0.95,0.12503,0.12481,0.00022
0.125,0.975,0.12504,0.12485,0.00019
0.15,0.025,0.01569,0.01956,-0.00388
0.15,0.05,0.02999,0.03572,-0.00573
0.15,0.075,0.04306,0.04983,-0.00677
0.15,0.1,0.05543,0.06218,-0.00675
0.15,0.125,0.067,0.07289,-0.00589
0.15,0.15,0.07764,0.08242,-0.00478
0.15,0.175,0.08716,0.09106,-0.0039
0.15,0.2,0.09592,0.09847,-0.00256
0.15,0.225,0.10394,0.10507,-0.00113
0.15,0.25,0.11132,0.1109,0.00042
0.15,0.275,0.1176,0.11638,0.00121
0.15,0.3,0.12313,0.12102,0.00211
0.15,0.325,0.12824,0.12488,0.00336
0.15,0.35,0.13234,0.12842,0.00392
0.15,0.375,0.1361,0.13143,0.00467
0.15,0.4,0.13888,0.13419,0.00468
0.15,0.425,0.14118,0.13673,0.00446
0.15,0.45,0.14305,0.13866,0.0044
0.15,0.475,0.1445,0.14028,0.00422
0.15,0.5,0.14568,0.14182,0.00386
0.15,0.525,0.14665,0.14315,0.0035
0.15,0.55,0.14746,0.14426,0.0032
0.15,0.575,0.1481,0.14526,0.00284
0.15,0.6,0.14856,0.14604,0.00252
0.15,0.625,0.14888,0.14678,0.0021
0.15,0.65,0.14918,0.1474,0.00178
0.15,0.675,0.14937,0.14783,0.00154
0.15,0.7,0.14949,0.14823,0.00126
0.15,0.725,0.1496,0.14862,0.00098
0.15,0.75,0.14969,0.14886,0.00083
0.15,0.775,0.14974,0.1492,0.00054
0.15,0.8,0.1498,0.14937,0.00042
0.15,0.825,0.14988,0.14956,0.00031
0.15,0.85,0.1499,0.1497,0.00021
0.15,0.875,0.14992,0.1498,0.00012
0.15,0.9,0.14995,0.14991,5e-05
0.15,0.925,0.14999,0.14998,1e-05
0.15,0.95,0.15,0.15002,-2e-05
0.15,0.975,0.15002,0.15009,-7e-05
0.175,0.025,0.01714,0.0206,-0.00346
0.175,0.05,0.03296,0.03804,-0.00508
0.175,0.075,0.04765,0.05354,-0.0059
0.175,0.1,0.06149,0.06748,-0.00598
0.175,0.125,0.0746,0.07983,-0.00523
0.175,0.15,0.08673,0.09078,-0.00405
0.175,0.175,0.0977,0.10085,-0.00315
0.175,0.2,0.10803,0.10968,-0.00165
0.175,0.225,0.11734,0.11766,-0.00032
0.175,0.25,0.12617,0.12477,0.0014
0.175,0.275,0.13368,0.13138,0.0023
0.175,0.3,0.14044,0.13709,0.00336
0.175,0.325,0.14664,0.14199,0.00465
0.175,0.35,0.15176,0.14652,0.00524
0.175,0.375,0.15637,0.15039,0.00599
0.175,0.4,0.15996,0.15392,0.00604
0.175,0.425,0.16293,0.15714,0.00579
0.175,0.45,0.16528,0.15962,0.00565
0.175,0.475,0.16721,0.16178,0.00543
0.175,0.5,0.16879,0.1638,0.005
0.175,0.525,0.17004,0.16552,0.00452
0.175,0.55,0.17117,0.16698,0.00419
0.175,0.575,0.17206,0.16827,0.00379
0.175,0.6,0.17272,0.16927,0.00345
0.175,0.625,0.17321,0.17025,0.00296
0.175,0.65,0.17366,0.17106,0.0026
0.175,0.675,0.17397,0.17167,0.0023
0.175,0.7,0.17416,0.17224,0.00192
0.175,0.725,0.17439,0.17279,0.0016
0.175,0.75,0.17455,0.1731,0.00145
0.175,0.775,0.17464,0.17355,0.00109
0.175,0.8,0.17473,0.17384,0.00089
0.175,0.825,0.17483,0.17409,0.00074
0.175,0.85,0.17487,0.17428,0.00059
0.175,0.875,0.1749,0.17443,0.00048
0.175,0.9,0.17496,0.17456,0.00039
0.175,0.925,0.175,0.17466,0.00034
0.175,0.95,0.17501,0.17472,3e-04
0.175,0.975,0.17504,0.17481,0.00023
0.2,0.025,0.01852,0.02141,-0.00288
0.2,0.05,0.03557,0.04015,-0.00458
0.2,0.075,0.05169,0.05694,-0.00525
0.2,0.1,0.06686,0.07212,-0.00526
0.2,0.125,0.0813,0.08585,-0.00455
0.2,0.15,0.09478,0.09816,-0.00338
0.2,0.175,0.10717,0.10969,-0.00251
0.2,0.2,0.11888,0.11976,-0.00089
0.2,0.225,0.12943,0.12901,0.00041
0.2,0.25,0.13949,0.13753,0.00197
0.2,0.275,0.14828,0.14547,0.00281
0.2,0.3,0.15624,0.15234,0.0039
0.2,0.325,0.16362,0.15833,0.00529
0.2,0.35,0.1699,0.16385,0.00605
0.2,0.375,0.17541,0.16862,0.00679
0.2,0.4,0.17985,0.173,0.00685
0.2,0.425,0.18361,0.17689,0.00673
0.2,0.45,0.18657,0.18002,0.00656
0.2,0.475,0.18908,0.18285,0.00623
0.2,0.5,0.19121,0.18543,0.00578
0.2,0.525,0.19289,0.18763,0.00526
0.2,0.55,0.19435,0.1895,0.00485
0.2,0.575,0.19559,0.19111,0.00448
0.2,0.6,0.19647,0.19243,0.00404
0.2,0.625,0.19719,0.1937,0.0035
0.2,0.65,0.19779,0.19478,0.00302
0.2,0.675,0.19825,0.19563,0.00261
0.2,0.7,0.19854,0.19643,0.00211
0.2,0.725,0.19891,0.19717,0.00175
0.2,0.75,0.19915,0.19761,0.00155
0.2,0.775,0.1993,0.19818,0.00112
0.2,0.8,0.19947,0.19856,0.00091
0.2,0.825,0.19962,0.19888,0.00074
0.2,0.85,0.19969,0.19916,0.00054
0.2,0.875,0.19975,0.1994,0.00034
0.2,0.9,0.19982,0.1996,0.00022
0.2,0.925,0.19986,0.19972,0.00014
0.2,0.95,0.19991,0.19981,9e-05
0.2,0.975,0.19994,0.19992,2e-05
0.225,0.025,0.01954,0.02202,-0.00249
0.225,0.05,0.03767,0.04168,-0.00401
0.225,0.075,0.05496,0.05969,-0.00473
0.225,0.1,0.07145,0.07622,-0.00477
0.225,0.125,0.08718,0.09126,-0.00408
0.225,0.15,0.10184,0.10494,-0.0031
0.225,0.175,0.11572,0.11787,-0.00215
0.225,0.2,0.12872,0.12927,-0.00055
0.225,0.225,0.14056,0.13978,0.00078
0.225,0.25,0.1519,0.14945,0.00244
0.225,0.275,0.16191,0.15858,0.00333
0.225,0.3,0.17107,0.16657,0.0045
0.225,0.325,0.17958,0.1737,0.00588
0.225,0.35,0.18691,0.18022,0.00669
0.225,0.375,0.19336,0.18598,0.00738
0.225,0.4,0.19867,0.19135,0.00732
0.225,0.425,0.20325,0.19607,0.00719
0.225,0.45,0.20698,0.19987,0.00711
0.225,0.475,0.21019,0.20335,0.00685
0.225,0.5,0.2129,0.20651,0.0064
0.225,0.525,0.21521,0.20916,0.00605
0.225,0.55,0.21712,0.21158,0.00553
0.225,0.575,0.21877,0.21354,0.00524
0.225,0.6,0.21997,0.21526,0.00471
0.225,0.625,0.22099,0.21688,0.00411
0.225,0.65,0.22181,0.21824,0.00356
0.225,0.675,0.22243,0.21931,0.00313
0.225,0.7,0.22287,0.2203,0.00258
0.225,0.725,0.22338,0.22119,0.00219
0.225,0.75,0.22372,0.22175,0.00197
0.225,0.775,0.22398,0.22246,0.00153
0.225,0.8,0.22423,0.22294,0.00129
0.225,0.825,0.22444,0.22335,0.00109
0.225,0.85,0.22458,0.22375,0.00082
0.225,0.875,0.22464,0.22407,0.00058
0.225,0.9,0.22476,0.22432,0.00044
0.225,0.925,0.22484,0.22448,0.00037
0.225,0.95,0.22489,0.2246,0.00029
0.225,0.975,0.22493,0.22475,0.00018
0.25,0.025,0.02043,0.02251,-0.00208
0.25,0.05,0.03954,0.0431,-0.00356
0.25,0.075,0.05791,0.06212,-0.00421
0.25,0.1,0.07546,0.07977,-0.00431
0.25,0.125,0.09228,0.09601,-0.00372
0.25,0.15,0.10806,0.11099,-0.00293
0.25,0.175,0.12316,0.12522,-0.00206
0.25,0.2,0.13737,0.13803,-0.00066
0.25,0.225,0.1504,0.1499,5e-04
0.25,0.25,0.16295,0.16074,0.00221
0.25,0.275,0.17405,0.17111,0.00294
0.25,0.3,0.18443,0.18019,0.00424
0.25,0.325,0.19412,0.1885,0.00562
0.25,0.35,0.20257,0.19611,0.00647
0.25,0.375,0.21002,0.20278,0.00724
0.25,0.4,0.21644,0.20914,0.00729
0.25,0.425,0.22202,0.2148,0.00722
0.25,0.45,0.22663,0.21943,0.0072
0.25,0.475,0.23072,0.22367,0.00706
0.25,0.5,0.23408,0.22751,0.00657
0.25,0.525,0.237,0.23076,0.00625
0.25,0.55,0.23933,0.23367,0.00566
0.25,0.575,0.24142,0.23609,0.00532
0.25,0.6,0.24294,0.23825,0.00469
0.25,0.625,0.24434,0.24025,0.00408
0.25,0.65,0.24544,0.24191,0.00353
0.25,0.675,0.24633,0.24329,0.00304
0.25,0.7,0.24698,0.24451,0.00247
0.25,0.725,0.24764,0.24561,0.00203
0.25,0.75,0.24814,0.24632,0.00182
0.25,0.775,0.24854,0.24716,0.00138
0.25,0.8,0.24886,0.24778,0.00108
0.25,0.825,0.24916,0.24829,0.00088
0.25,0.85,0.24937,0.24879,0.00058
0.25,0.875,0.24952,0.24914,0.00038
0.25,0.9,0.24968,0.24948,0.00021
0.25,0.925,0.2498,0.24971,9e-05
0.25,0.95,0.24986,0.24987,0
0.25,0.975,0.24991,0.25005,-0.00014
0.275,0.025,0.02116,0.02298,-0.00182
0.275,0.05,0.04124,0.04428,-0.00304
0.275,0.075,0.06054,0.06411,-0.00357
0.275,0.1,0.07905,0.08277,-0.00371
0.275,0.125,0.09684,0.10017,-0.00333
0.275,0.15,0.11372,0.11633,-0.0026
0.275,0.175,0.12989,0.13172,-0.00183
0.275,0.2,0.14506,0.1456,-0.00055
0.275,0.225,0.15923,0.15873,0.00051
0.275,0.25,0.17287,0.17076,0.0021
0.275,0.275,0.18523,0.18238,0.00286
0.275,0.3,0.19671,0.19268,0.00403
0.275,0.325,0.20745,0.20205,0.0054
0.275,0.35,0.21705,0.21076,0.00629
0.275,0.375,0.22552,0.21844,0.00708
0.275,0.4,0.233,0.22572,0.00728
0.275,0.425,0.23962,0.23218,0.00744
0.275,0.45,0.24512,0.23766,0.00746
0.275,0.475,0.25004,0.24264,0.0074
0.275,0.5,0.25422,0.24723,0.00699
0.275,0.525,0.25795,0.25104,0.00691
0.275,0.55,0.261,0.25455,0.00644
0.275,0.575,0.26364,0.25755,0.00608
0.275,0.6,0.26555,0.26021,0.00533
0.275,0.625,0.26727,0.26259,0.00468
0.275,0.65,0.26875,0.26463,0.00412
0.275,0.675,0.27006,0.26631,0.00375
0.275,0.7,0.27099,0.26779,0.00321
0.275,0.725,0.27188,0.26911,0.00277
0.275,0.75,0.27254,0.27007,0.00247
0.275,0.775,0.27306,0.27105,0.002
0.275,0.8,0.2735,0.27184,0.00166
0.275,0.825,0.27392,0.27245,0.00147
0.275,0.85,0.27422,0.27308,0.00115
0.275,0.875,0.27442,0.27352,9e-04
0.275,0.9,0.27463,0.27396,0.00067
0.275,0.925,0.27478,0.27426,0.00052
0.275,0.95,0.27488,0.27449,0.00039
0.275,0.975,0.27496,0.27469,0.00027
0.3,0.025,0.02174,0.02333,-0.0016
0.3,0.05,0.04249,0.04523,-0.00273
0.3,0.075,0.06258,0.06577,-0.00318
0.3,0.1,0.08196,0.0853,-0.00333
0.3,0.125,0.10061,0.10375,-0.00314
0.3,0.15,0.11847,0.12096,-0.00249
0.3,0.175,0.13572,0.1374,-0.00168
0.3,0.2,0.15192,0.15245,-0.00053
0.3,0.225,0.16713,0.16674,0.00039
0.3,0.25,0.18182,0.17992,0.0019
0.3,0.275,0.19524,0.19272,0.00252
0.3,0.3,0.20769,0.2042,0.00349
0.3,0.325,0.21959,0.21465,0.00494
0.3,0.35,0.23027,0.22451,0.00576
0.3,0.375,0.23978,0.23331,0.00647
0.3,0.4,0.24835,0.24166,0.00669
0.3,0.425,0.25604,0.24914,0.0069
0.3,0.45,0.26242,0.25551,0.00691
0.3,0.475,0.26825,0.26132,0.00692
0.3,0.5,0.27334,0.26663,0.00671
0.3,0.525,0.27775,0.27118,0.00657
0.3,0.55,0.28152,0.27524,0.00627
0.3,0.575,0.28492,0.27887,0.00605
0.3,0.6,0.28743,0.28204,0.00539
0.3,0.625,0.28964,0.28485,0.0048
0.3,0.65,0.29157,0.28729,0.00428
0.3,0.675,0.29332,0.28936,0.00395
0.3,0.7,0.29472,0.29115,0.00357
0.3,0.725,0.29587,0.29281,0.00306
0.3,0.75,0.29676,0.29403,0.00273
0.3,0.775,0.29749,0.29523,0.00226
0.3,0.8,0.29807,0.29618,0.00189
0.3,0.825,0.29862,0.29697,0.00164
0.3,0.85,0.29903,0.29773,0.0013
0.3,0.875,0.29932,0.29832,0.001
0.3,0.9,0.29959,0.29885,0.00074
0.3,0.925,0.29978,0.29926,0.00052
0.3,0.95,0.29993,0.29957,0.00036
0.3,0.975,0.30004,0.29983,0.00021
0.325,0.025,0.02219,0.02362,-0.00143
0.325,0.05,0.04346,0.04611,-0.00265
0.325,0.075,0.06426,0.06729,-0.00303
0.325,0.1,0.08439,0.08754,-0.00316
0.325,0.125,0.10371,0.10695,-0.00324
0.325,0.15,0.12246,0.12517,-0.00271
0.325,0.175,0.14061,0.14263,-0.00202
0.325,0.2,0.15778,0.15866,-0.00088
0.325,0.225,0.17396,0.17397,-1e-05
0.325,0.25,0.18965,0.18822,0.00143
0.325,0.275,0.2043,0.20202,0.00229
0.325,0.3,0.21782,0.21468,0.00313
0.325,0.325,0.23067,0.22629,0.00438
0.325,0.35,0.24253,0.23724,0.00529
0.325,0.375,0.25308,0.24704,0.00605
0.325,0.4,0.26282,0.2564,0.00642
0.325,0.425,0.27157,0.26488,0.0067
0.325,0.45,0.27895,0.27217,0.00678
0.325,0.475,0.28576,0.27896,0.00679
0.325,0.5,0.29176,0.28515,0.00661
0.325,0.525,0.29703,0.29044,0.00659
0.325,0.55,0.3016,0.29529,0.00631
0.325,0.575,0.30563,0.2996,0.00603
0.325,0.6,0.30882,0.30337,0.00545
0.325,0.625,0.31156,0.30667,0.00489
0.325,0.65,0.31393,0.30958,0.00435
0.325,0.675,0.31606,0.31213,0.00393
0.325,0.7,0.31785,0.3143,0.00354
0.325,0.725,0.31934,0.31624,0.0031
0.325,0.75,0.32053,0.31777,0.00275
0.325,0.775,0.32153,0.31921,0.00232
0.325,0.8,0.32228,0.32041,0.00187
0.325,0.825,0.32303,0.32145,0.00158
0.325,0.85,0.32359,0.32233,0.00126
0.325,0.875,0.32399,0.32306,0.00093
0.325,0.9,0.32433,0.3237,0.00063
0.325,0.925,0.32456,0.32418,0.00038
0.325,0.95,0.32474,0.32457,0.00017
0.325,0.975,0.32486,0.32487,0
0.35,0.025,0.02267,0.02391,-0.00124
0.35,0.05,0.0445,0.0468,-0.0023
0.35,0.075,0.06592,0.06854,-0.00261
0.35,0.1,0.08671,0.0895,-0.00279
0.35,0.125,0.10677,0.10969,-0.00293
0.35,0.15,0.12627,0.12877,-0.0025
0.35,0.175,0.1453,0.14712,-0.00182
0.35,0.2,0.16334,0.16416,-0.00082
0.35,0.225,0.18051,0.18057,-5e-05
0.35,0.25,0.1972,0.19597,0.00123
0.35,0.275,0.21275,0.21089,0.00186
0.35,0.3,0.22729,0.22459,0.0027
0.35,0.325,0.24113,0.23742,0.0037
0.35,0.35,0.25403,0.24942,0.00461
0.35,0.375,0.26575,0.26037,0.00539
0.35,0.4,0.27653,0.2707,0.00583
0.35,0.425,0.2864,0.2802,0.00619
0.35,0.45,0.29482,0.28846,0.00636
0.35,0.475,0.30272,0.296,0.00672
0.35,0.5,0.30968,0.30307,0.00661
0.35,0.525,0.31577,0.30908,0.00669
0.35,0.55,0.32119,0.31472,0.00648
0.35,0.575,0.32593,0.31968,0.00624
0.35,0.6,0.32991,0.32409,0.00583
0.35,0.625,0.33329,0.32794,0.00536
0.35,0.65,0.33615,0.33143,0.00472
0.35,0.675,0.33872,0.33438,0.00433
0.35,0.7,0.34097,0.33683,0.00414
0.35,0.725,0.34281,0.33916,0.00365
0.35,0.75,0.34434,0.34101,0.00333
0.35,0.775,0.34562,0.34271,0.00292
0.35,0.8,0.34662,0.34417,0.00245
0.35,0.825,0.34753,0.34546,0.00207
0.35,0.85,0.34827,0.34648,0.00178
0.35,0.875,0.3488,0.34737,0.00142
0.35,0.9,0.34927,0.34817,0.0011
0.35,0.925,0.34962,0.34879,0.00083
0.35,0.95,0.34984,0.34928,0.00055
0.35,0.975,0.34998,0.34965,0.00033
0.375,0.025,0.02309,0.02411,-0.00103
0.375,0.05,0.04542,0.04733,-0.00192
0.375,0.075,0.06737,0.06959,-0.00221
0.375,0.1,0.08883,0.09126,-0.00244
0.375,0.125,0.10945,0.11218,-0.00273
0.375,0.15,0.12954,0.13207,-0.00253
0.375,0.175,0.14927,0.15125,-0.00198
0.375,0.2,0.16801,0.16927,-0.00126
0.375,0.225,0.18602,0.18671,-0.00069
0.375,0.25,0.2035,0.20323,0.00027
0.375,0.275,0.22,0.21922,0.00078
0.375,0.3,0.23545,0.23411,0.00134
0.375,0.325,0.25033,0.24812,0.00221
0.375,0.35,0.26426,0.26115,0.00311
0.375,0.375,0.27701,0.27316,0.00385
0.375,0.4,0.28891,0.28463,0.00428
0.375,0.425,0.29987,0.29511,0.00476
0.375,0.45,0.30935,0.30435,0.005
0.375,0.475,0.31828,0.31277,0.00551
0.375,0.5,0.3263,0.32073,0.00557
0.375,0.525,0.33342,0.32744,0.00598
0.375,0.55,0.33977,0.33397,0.00581
0.375,0.575,0.34536,0.33963,0.00574
0.375,0.6,0.35009,0.34465,0.00545
0.375,0.625,0.35412,0.34911,0.00501
0.375,0.65,0.35755,0.35315,0.0044
0.375,0.675,0.36075,0.35654,0.00421
0.375,0.7,0.36347,0.35935,0.00412
0.375,0.725,0.36583,0.36207,0.00376
0.375,0.75,0.36765,0.3643,0.00335
0.375,0.775,0.36926,0.36625,0.00301
0.375,0.8,0.37052,0.36798,0.00254
0.375,0.825,0.37168,0.3695,0.00218
0.375,0.85,0.37257,0.37074,0.00183
0.375,0.875,0.37323,0.37183,0.0014
0.375,0.9,0.37385,0.37281,0.00104
0.375,0.925,0.37431,0.37354,0.00078
0.375,0.95,0.37463,0.37413,5e-04
0.375,0.975,0.37481,0.37458,0.00024
0.4,0.025,0.02335,0.02427,-0.00091
0.4,0.05,0.04605,0.04786,-0.0018
0.4,0.075,0.06848,0.07061,-0.00213
0.4,0.1,0.0904,0.0928,-0.00239
0.4,0.125,0.11163,0.11438,-0.00275
0.4,0.15,0.13231,0.13512,-0.0028
0.4,0.175,0.15271,0.15503,-0.00232
0.4,0.2,0.17214,0.1739,-0.00176
0.4,0.225,0.19087,0.19228,-0.00141
0.4,0.25,0.20928,0.20985,-0.00058
0.4,0.275,0.22673,0.22682,-9e-05
0.4,0.3,0.243,0.24267,0.00033
0.4,0.325,0.25891,0.25768,0.00124
0.4,0.35,0.27378,0.27176,0.00202
0.4,0.375,0.28757,0.28482,0.00274
0.4,0.4,0.30045,0.29738,0.00307
0.4,0.425,0.31245,0.30887,0.00358
0.4,0.45,0.32307,0.31916,0.00391
