YEAR,GRADE,WIDA_LEVEL,n,kendall,ilearn_pctile_median,ilearn_pctile_sd,ilearn_floor_share,p_ilearn_proficient,suppress
2023,5,WIDA Level 2,598,0.1049,15.5927,14.383,0.1572,0,FALSE
2023,5,WIDA Level 3,1909,0.1984,32.9516,20.7426,0.0524,0.0073,FALSE
2023,5,WIDA Level 4,959,0.0937,52.1733,21.6902,0.0094,0.0282,FALSE
2023,5,WIDA Level 4.3,2060,0.158,67.4693,21.5679,0.0019,0.1223,FALSE
2023,5,WIDA Level 5,1087,0.1786,84.1383,17.3849,0,0.3588,FALSE
2023,5,WIDA Level 6,97,0.2985,94.4598,9.389,0,0.7423,FALSE
2023,6,WIDA Level 1,553,0.0428,10.8561,12.6954,0.2767,0.0018,FALSE
2023,6,WIDA Level 2,972,0.1611,21.11,18.2131,0.108,0.0031,FALSE
2023,6,WIDA Level 3,3186,0.2665,52.4984,23.9178,0.0141,0.0424,FALSE
2023,6,WIDA Level 4,756,0.0551,75.2279,19.8695,0.0013,0.1164,FALSE
2023,6,WIDA Level 4.3,624,0.1838,86.7594,17.5813,0.0016,0.3446,FALSE
2023,6,WIDA Level 5,50,0.2377,97.6074,8.3145,0,0.64,FALSE
2023,7,WIDA Level 1,681,0.0694,12.395,13.1494,0.2423,0,FALSE
2023,7,WIDA Level 2,969,0.1542,24.2889,19.5969,0.096,0.0021,FALSE
2023,7,WIDA Level 3,2916,0.2446,51.2201,23.6263,0.0185,0.0209,FALSE
2023,7,WIDA Level 4,761,0.0827,73.6183,20.4303,0,0.134,FALSE
2023,7,WIDA Level 4.3,747,0.1671,85.8112,16.7834,0.0013,0.2704,FALSE
2023,7,WIDA Level 5,112,0.125,95.1438,9.7052,0,0.6429,FALSE
2023,8,WIDA Level 1,701,0.0938,11.4225,12.0306,0.2596,0.0014,FALSE
2023,8,WIDA Level 2,988,0.1623,24.8279,18.8432,0.083,0.003,FALSE
2023,8,WIDA Level 3,2659,0.2457,50.8604,22.9282,0.0143,0.0297,FALSE
2023,8,WIDA Level 4,777,0.0495,73.648,19.8512,0,0.1377,FALSE
2023,8,WIDA Level 4.3,850,0.172,84.4231,17.6038,0,0.3282,FALSE
2023,8,WIDA Level 5,124,0.1768,95.5465,11.1252,0,0.6774,FALSE
2024,3,WIDA Level 1,1165,0.0528,14.0551,12.2185,0.1991,0,FALSE
2024,3,WIDA Level 2,1485,0.1586,22.4518,16.245,0.0997,0.0013,FALSE
2024,3,WIDA Level 3,3641,0.3007,49.9394,21.6067,0.0184,0.064,FALSE
2024,3,WIDA Level 4,1006,0.1326,72.8209,18.131,0.001,0.2714,FALSE
2024,3,WIDA Level 4.3,1337,0.1665,83.5482,14.5055,7e-04,0.5266,FALSE
2024,3,WIDA Level 5,423,0.1654,93.9063,8.8311,0,0.8392,FALSE
2024,3,WIDA Level 6,17,,,,,,TRUE
2024,4,WIDA Level 1,810,0.0163,11.4904,11.1785,0.2444,0,FALSE
2024,4,WIDA Level 2,860,0.0209,17.3361,13.1369,0.1535,0,FALSE
2024,4,WIDA Level 3,2530,0.2301,33.8417,19.6672,0.0462,0.0138,FALSE
2024,4,WIDA Level 4,1003,0.1081,52.9798,19.5783,0.009,0.0668,FALSE
2024,4,WIDA Level 4.3,2390,0.1694,67.8734,19.3582,0.0021,0.2364,FALSE
2024,4,WIDA Level 5,1360,0.1933,85.7306,14.4413,0,0.611,FALSE
2024,4,WIDA Level 6,258,0.1603,94.7596,8.8339,0,0.8798,FALSE
2024,5,WIDA Level 1,802,0.0862,11.5699,11.0134,0.2456,0,FALSE
2024,5,WIDA Level 2,706,0.1232,17.9068,14.0065,0.1487,0,FALSE
2024,5,WIDA Level 3,1967,0.2331,35.5668,20.3265,0.0386,0.0076,FALSE
2024,5,WIDA Level 4,857,0.0383,52.5646,20.7896,0.0058,0.0327,FALSE
2024,5,WIDA Level 4.3,2096,0.1873,68.3288,20.3199,0.0029,0.1317,FALSE
2024,5,WIDA Level 5,1141,0.1854,84.2618,16.1554,0,0.3672,FALSE
2024,5,WIDA Level 6,131,0.0832,96.5069,11.5943,0,0.7328,FALSE
2024,6,WIDA Level 1,877,0.0892,13.132,13.3083,0.2166,0.0011,FALSE
2024,6,WIDA Level 2,1230,0.2032,25.3467,19.4723,0.0902,0.0016,FALSE
2024,6,WIDA Level 3,3170,0.2882,53.4817,23.1443,0.0145,0.0401,FALSE
2024,6,WIDA Level 4,795,0.0969,76.9575,19.2467,0.0013,0.1711,FALSE
2024,6,WIDA Level 4.3,762,0.1807,86.3732,16.1866,0,0.357,FALSE
2024,6,WIDA Level 5,83,0.0948,94.9798,8.7038,0,0.6988,FALSE
2024,7,WIDA Level 1,958,0.1267,13.2197,12.3903,0.2056,0,FALSE
2024,7,WIDA Level 2,1163,0.1847,26.7626,19.1857,0.086,0.0017,FALSE
2024,7,WIDA Level 3,2808,0.263,52.6807,22.6535,0.0139,0.0328,FALSE
2024,7,WIDA Level 4,827,0.0981,73.2961,18.9269,0,0.133,FALSE
2024,7,WIDA Level 4.3,901,0.1777,84.4301,16.0269,0.0011,0.2986,FALSE
2024,7,WIDA Level 5,146,0.1432,95.5567,10.3957,0,0.7671,FALSE
2024,8,WIDA Level 1,1070,0.0967,13.869,12.7805,0.1991,0,FALSE
2024,8,WIDA Level 2,1068,0.2272,28.385,19.4014,0.0805,0.0019,FALSE
2024,8,WIDA Level 3,2548,0.2601,51.4988,22.5994,0.0161,0.0361,FALSE
2024,8,WIDA Level 4,829,0.0749,70.6902,20.4221,0.0024,0.1448,FALSE
2024,8,WIDA Level 4.3,1091,0.1813,82.0076,17.9705,0,0.2961,FALSE
2024,8,WIDA Level 5,227,0.1446,94.5679,12.3204,0,0.6696,FALSE
2025,3,WIDA Level 1,1361,0.0466,15.3584,13.2416,0.1815,0,FALSE
2025,3,WIDA Level 2,1567,0.1415,23.1979,16.9736,0.1008,0.0038,FALSE
2025,3,WIDA Level 3,3670,0.2779,49.776,22.1915,0.0243,0.0725,FALSE
2025,3,WIDA Level 4,1102,0.1045,70.5712,18.6822,9e-04,0.274,FALSE
2025,3,WIDA Level 4.3,1636,0.1844,81.9792,16.0865,0,0.5086,FALSE
2025,3,WIDA Level 5,466,0.1902,93.3568,10.6686,0,0.8219,FALSE
2025,3,WIDA Level 6,19,,,,,,TRUE
2025,4,WIDA Level 1,769,0.0359,16.6467,14.6433,0.1795,0,FALSE
