YEAR,GRADE,WIDA_LEVEL,N,suppress
2023,6,WIDA Level 3,3186,FALSE
2023,6,WIDA Level 4,756,FALSE
2023,6,WIDA Level 4.3,624,FALSE
2023,6,WIDA Level 5,50,FALSE
2023,7,WIDA Level 1,681,FALSE
2023,7,WIDA Level 2,969,FALSE
2023,7,WIDA Level 3,2916,FALSE
2023,7,WIDA Level 4,761,FALSE
2023,7,WIDA Level 4.3,747,FALSE
2023,7,WIDA Level 5,112,FALSE
2023,8,WIDA Level 1,701,FALSE
2023,8,WIDA Level 2,988,FALSE
2023,8,WIDA Level 3,2659,FALSE
2023,8,WIDA Level 4,777,FALSE
2023,8,WIDA Level 4.3,850,FALSE
2023,8,WIDA Level 5,124,FALSE
2024,3,WIDA Level 1,1165,FALSE
2024,3,WIDA Level 2,1485,FALSE
2024,3,WIDA Level 3,3641,FALSE
2024,3,WIDA Level 4,1006,FALSE
2024,3,WIDA Level 4.3,1337,FALSE
2024,3,WIDA Level 5,423,FALSE
2024,3,WIDA Level 6,17,FALSE
2024,4,WIDA Level 1,810,FALSE
2024,4,WIDA Level 2,860,FALSE
2024,4,WIDA Level 3,2530,FALSE
2024,4,WIDA Level 4,1003,FALSE
2024,4,WIDA Level 4.3,2390,FALSE
2024,4,WIDA Level 5,1360,FALSE
2024,4,WIDA Level 6,258,FALSE
2024,5,WIDA Level 1,802,FALSE
2024,5,WIDA Level 2,706,FALSE
2024,5,WIDA Level 3,1967,FALSE
2024,5,WIDA Level 4,857,FALSE
2024,5,WIDA Level 4.3,2096,FALSE
2024,5,WIDA Level 5,1141,FALSE
2024,5,WIDA Level 6,131,FALSE
2024,6,WIDA Level 1,877,FALSE
2024,6,WIDA Level 2,1230,FALSE
2024,6,WIDA Level 3,3170,FALSE
2024,6,WIDA Level 4,795,FALSE
2024,6,WIDA Level 4.3,762,FALSE
2024,6,WIDA Level 5,83,FALSE
2024,7,WIDA Level 1,958,FALSE
2024,7,WIDA Level 2,1163,FALSE
2024,7,WIDA Level 3,2808,FALSE
2024,7,WIDA Level 4,827,FALSE
2024,7,WIDA Level 4.3,901,FALSE
2024,7,WIDA Level 5,146,FALSE
2024,8,WIDA Level 1,1070,FALSE
2024,8,WIDA Level 2,1068,FALSE
2024,8,WIDA Level 3,2548,FALSE
2024,8,WIDA Level 4,829,FALSE
2024,8,WIDA Level 4.3,1091,FALSE
2024,8,WIDA Level 5,227,FALSE
2025,3,WIDA Level 1,1361,FALSE
2025,3,WIDA Level 2,1567,FALSE
2025,3,WIDA Level 3,3670,FALSE
2025,3,WIDA Level 4,1102,FALSE
2025,3,WIDA Level 4.3,1636,FALSE
2025,3,WIDA Level 5,466,FALSE
2025,3,WIDA Level 6,19,FALSE
2025,4,WIDA Level 1,769,FALSE
2025,4,WIDA Level 2,1013,FALSE
2025,4,WIDA Level 3,2296,FALSE
2025,4,WIDA Level 4,1044,FALSE
2025,4,WIDA Level 4.3,2414,FALSE
2025,4,WIDA Level 5,1379,FALSE
2025,4,WIDA Level 6,272,FALSE
2025,5,WIDA Level 1,880,FALSE
2025,5,WIDA Level 2,854,FALSE
2025,5,WIDA Level 3,1965,FALSE
2025,5,WIDA Level 4,872,FALSE
2025,5,WIDA Level 4.3,2135,FALSE
2025,5,WIDA Level 5,1183,FALSE
2025,5,WIDA Level 6,193,FALSE
2025,6,WIDA Level 1,846,FALSE
2025,6,WIDA Level 2,1290,FALSE
2025,6,WIDA Level 3,3109,FALSE
2025,6,WIDA Level 4,814,FALSE
2025,6,WIDA Level 4.3,762,FALSE
2025,6,WIDA Level 5,94,FALSE
2025,7,WIDA Level 1,1084,FALSE
2025,7,WIDA Level 2,1261,FALSE
2025,7,WIDA Level 3,2985,FALSE
2025,7,WIDA Level 4,861,FALSE
2025,7,WIDA Level 4.3,1025,FALSE
2025,7,WIDA Level 5,199,FALSE
2025,8,WIDA Level 1,1108,FALSE
2025,8,WIDA Level 2,1072,FALSE
2025,8,WIDA Level 3,2550,FALSE
2025,8,WIDA Level 4,889,FALSE
2025,8,WIDA Level 4.3,1248,FALSE
2025,8,WIDA Level 5,289,FALSE
2026,3,WIDA Level 1,938,FALSE
2026,3,WIDA Level 2,1313,FALSE
2026,3,WIDA Level 3,4226,FALSE
2026,3,WIDA Level 4,1210,FALSE
2026,3,WIDA Level 4.3,1816,FALSE
2026,3,WIDA Level 5,473,FALSE
2026,3,WIDA Level 6,112,FALSE
2026,4,WIDA Level 1,490,FALSE
2026,4,WIDA Level 2,546,FALSE
2026,4,WIDA Level 3,1763,FALSE
2026,4,WIDA Level 4,1091,FALSE
2026,4,WIDA Level 4.3,2698,FALSE
2026,4,WIDA Level 5,1641,FALSE
2026,4,WIDA Level 6,286,FALSE
2026,5,WIDA Level 1,579,FALSE
2026,5,WIDA Level 2,564,FALSE
2026,5,WIDA Level 3,1807,FALSE
2026,5,WIDA Level 4,992,FALSE
2026,5,WIDA Level 4.3,2133,FALSE
2026,5,WIDA Level 5,1243,FALSE
2026,5,WIDA Level 6,103,FALSE
2026,6,WIDA Level 1,633,FALSE
2026,6,WIDA Level 2,1147,FALSE
2026,6,WIDA Level 3,3067,FALSE
2026,6,WIDA Level 4,875,FALSE
2026,6,WIDA Level 4.3,844,FALSE
2026,6,WIDA Level 5,87,FALSE
2026,7,WIDA Level 1,782,FALSE
2026,7,WIDA Level 2,1124,FALSE
2026,7,WIDA Level 3,2777,FALSE
2026,7,WIDA Level 4,906,FALSE
2026,7,WIDA Level 4.3,1105,FALSE
2026,7,WIDA Level 5,140,FALSE
2026,7,WIDA Level 6,16,FALSE
2026,8,WIDA Level 1,872,FALSE
2026,8,WIDA Level 2,1081,FALSE
2026,8,WIDA Level 3,2580,FALSE
2026,8,WIDA Level 4,943,FALSE
2026,8,WIDA Level 4.3,1364,FALSE
2026,8,WIDA Level 5,236,FALSE
2026,8,WIDA Level 6,39,FALSE
