cut,n_below,n_above,tau_below,tau_above,tau_gap,ilearn_prof_below,ilearn_prof_above,ilearn_pctile_below,ilearn_pctile_above,YEAR,GRADE,YEAR_STRATUM
2.5,229,3436,0.2271,0.505,0.2779,0,0.078,7.515,53.4506,2018,5,istep_contrast
2.6,262,3403,0.2638,0.5027,0.2388,0.0038,0.0785,8.497,53.4506,2018,5,istep_contrast
2.7,297,3368,0.2589,0.4967,0.2378,0.0034,0.0793,9.3426,53.4506,2018,5,istep_contrast
2.8,332,3333,0.2627,0.4918,0.2291,0.003,0.0801,9.82,54.5008,2018,5,istep_contrast
2.9,367,3298,0.2387,0.4852,0.2465,0.0027,0.081,10.2428,54.5008,2018,5,istep_contrast
3,406,3259,0.2284,0.4791,0.2507,0.0025,0.0819,10.4542,55.2919,2018,5,istep_contrast
3.1,483,3182,0.2533,0.4688,0.2155,0.0021,0.0839,11.5248,56.0966,2018,5,istep_contrast
3.2,562,3103,0.2444,0.4577,0.2133,0.0018,0.086,12.0431,57.7605,2018,5,istep_contrast
3.3,634,3031,0.2764,0.4507,0.1743,0.0032,0.0878,13.0115,58.647,2018,5,istep_contrast
3.4,817,2848,0.3298,0.4391,0.1093,0.0037,0.093,16.0938,60.2973,2018,5,istep_contrast
3.5,817,2848,0.3298,0.4391,0.1093,0.0037,0.093,16.0938,60.2973,2018,5,istep_contrast
3.6,922,2743,0.3322,0.4288,0.0966,0.0033,0.0966,17.3077,61.2793,2018,5,istep_contrast
3.7,1058,2607,0.3308,0.4124,0.0816,0.0038,0.1013,18.958,63.0797,2018,5,istep_contrast
3.8,1206,2459,0.3543,0.4023,0.048,0.0041,0.107,20.4037,64.7572,2018,5,istep_contrast
3.9,1549,2116,0.3676,0.3666,-0.001,0.0058,0.1224,24.5636,68.5897,2018,5,istep_contrast
4,1549,2116,0.3676,0.3666,-0.001,0.0058,0.1224,24.5636,68.5897,2018,5,istep_contrast
4.1,1784,1881,0.3913,0.3617,-0.0297,0.0056,0.1372,27.4823,71.0175,2018,5,istep_contrast
4.2,1955,1710,0.3893,0.3374,-0.052,0.0077,0.148,29.1326,72.7632,2018,5,istep_contrast
4.3,2248,1417,0.4163,0.324,-0.0923,0.0111,0.1715,32.4468,75.7638,2018,5,istep_contrast
4.4,2248,1417,0.4163,0.324,-0.0923,0.0111,0.1715,32.4468,75.7638,2018,5,istep_contrast
4.5,2458,1207,0.435,0.3161,-0.1189,0.0138,0.1939,35.3655,78.0551,2018,5,istep_contrast
4.6,2649,1016,0.45,0.3059,-0.1441,0.0166,0.2205,37.8478,80.0736,2018,5,istep_contrast
4.7,2780,885,0.4563,0.2983,-0.158,0.0183,0.2452,39.6481,81.6421,2018,5,istep_contrast
4.8,3040,625,0.4708,0.2797,-0.1911,0.0247,0.3088,42.5668,85.7474,2018,5,istep_contrast
4.9,3040,625,0.4708,0.2797,-0.1911,0.0247,0.3088,42.5668,85.7474,2018,5,istep_contrast
5,3179,486,0.4819,0.2524,-0.2294,0.0324,0.3395,44.1626,87.6568,2018,5,istep_contrast
5.1,3284,381,0.4913,0.2289,-0.2624,0.0375,0.3806,44.9536,89.3344,2018,5,istep_contrast
5.2,3343,322,0.4989,0.2395,-0.2595,0.041,0.4068,45.8674,89.8322,2018,5,istep_contrast
5.3,3469,196,0.5128,0.228,-0.2848,0.0499,0.4847,47.6132,92.1986,2018,5,istep_contrast
5.4,3469,196,0.5128,0.228,-0.2848,0.0499,0.4847,47.6132,92.1986,2018,5,istep_contrast
