YEAR,GRADE,WIDA_LEVEL,n,kendall,ilearn_pctile_median,p_ilearn_proficient
2024,5,WIDA Level 2,619,0.0702,14.7503,0.0081
2024,5,WIDA Level 3,2177,0.2506,29.5812,0.0239
2024,5,WIDA Level 4,1058,0.1261,48.222,0.1049
2024,5,WIDA Level 4.3,2259,0.1534,63.9636,0.2528
2024,5,WIDA Level 5,1299,0.1449,81.9663,0.5589
2024,5,WIDA Level 6,239,0.128,93.9103,0.8912
2024,6,WIDA Level 1,491,0.0622,10.9775,0
2024,6,WIDA Level 2,560,0.057,16.7506,0.0054
2024,6,WIDA Level 3,1832,0.2074,33.2997,0.03
2024,6,WIDA Level 4,921,0.0846,50.6407,0.0771
2024,6,WIDA Level 4.3,1996,0.1616,65.6925,0.1944
2024,6,WIDA Level 5,1051,0.1544,82.5295,0.4491
2024,6,WIDA Level 6,94,0.1535,92.9888,0.7553
2024,7,WIDA Level 1,489,0.1207,11.5088,0
2024,7,WIDA Level 2,915,0.115,23.0433,0.0055
2024,7,WIDA Level 3,3048,0.2396,51.6099,0.0512
2024,7,WIDA Level 4,729,0.0755,72.3583,0.1811
2024,7,WIDA Level 4.3,607,0.1617,84.6121,0.3822
2024,7,WIDA Level 5,49,,,
2024,8,WIDA Level 1,612,0.1108,11.4852,0
2024,8,WIDA Level 2,914,0.1497,24.5823,0.0044
2024,8,WIDA Level 3,2823,0.2411,50.27,0.062
2024,8,WIDA Level 4,740,0.0502,72.903,0.2014
2024,8,WIDA Level 4.3,727,0.1674,84.8523,0.4154
2024,8,WIDA Level 5,107,0.0529,95.8987,0.757
2025,3,WIDA Level 1,1085,0.0419,16.1753,0.0065
2025,3,WIDA Level 2,2156,0.1717,27.8031,0.026
2025,3,WIDA Level 3,3858,0.2691,57.4502,0.1874
2025,3,WIDA Level 4,693,0.0448,77.9738,0.469
2025,3,WIDA Level 4.3,835,0.1524,86.5851,0.685
2025,3,WIDA Level 5,150,0.1367,94.9175,0.8733
2025,4,WIDA Level 1,1057,0.0582,16.3369,0.0057
2025,4,WIDA Level 2,1395,0.0956,23.6261,0.0229
2025,4,WIDA Level 3,3494,0.2478,49.086,0.1139
2025,4,WIDA Level 4,984,0.0934,69.2931,0.3323
2025,4,WIDA Level 4.3,1288,0.1575,81.7829,0.5776
2025,4,WIDA Level 5,407,0.1469,93.2778,0.8624
2025,4,WIDA Level 6,17,,,
2025,5,WIDA Level 1,721,0.0532,14.3051,0.0042
2025,5,WIDA Level 2,814,0.0371,17.3717,0.0012
2025,5,WIDA Level 3,2433,0.1993,34.3584,0.0337
2025,5,WIDA Level 4,977,0.0571,52.2709,0.1208
2025,5,WIDA Level 4.3,2309,0.168,65.7776,0.2547
2025,5,WIDA Level 5,1325,0.161,83.7128,0.5947
2025,5,WIDA Level 6,249,0.1325,93.8781,0.8795
2025,6,WIDA Level 1,724,0.1066,14.1585,0.0014
2025,6,WIDA Level 2,659,0.0828,20.1468,0.003
2025,6,WIDA Level 3,1878,0.1684,35.5968,0.0181
2025,6,WIDA Level 4,824,0.0349,52.6917,0.0704
2025,6,WIDA Level 4.3,2035,0.1528,65.851,0.1872
2025,6,WIDA Level 5,1108,0.1601,82.708,0.435
2025,6,WIDA Level 6,127,0.0793,94.7526,0.7323
2025,7,WIDA Level 1,778,0.0603,17.0018,0
2025,7,WIDA Level 2,1149,0.1254,27.3461,0.007
2025,7,WIDA Level 3,3045,0.2244,53.0393,0.0371
2025,7,WIDA Level 4,768,0.0728,73.3699,0.138
2025,7,WIDA Level 4.3,738,0.1332,82.9144,0.2967
2025,7,WIDA Level 5,81,0.1993,94.8507,0.6049
2025,8,WIDA Level 1,859,0.1045,16.5791,0
2025,8,WIDA Level 2,1097,0.1098,27.7013,0.0055
2025,8,WIDA Level 3,2702,0.2247,52.1989,0.0725
2025,8,WIDA Level 4,801,0.0134,72.4842,0.211
