YEAR_T,YEAR_T1,window,GRADE,role,WIDA_EXIT_BAND,n,sgp_median,p_sgp_below_35,p_sgp_above_65,suppress
2024,2025,primary,7,stayer,<4.3,5364,48,0.366,0.32,FALSE
2024,2025,primary,7,stayer,4.3-4.9,770,55,0.314,0.388,FALSE
2025,2026,ranks_only,3,exiter,<4.3,31,,,,TRUE
2025,2026,ranks_only,3,exiter,4.3-4.9,430,60,0.258,0.435,FALSE
2025,2026,ranks_only,3,exiter,>=5.0,458,62,0.236,0.463,FALSE
2025,2026,ranks_only,3,never_el,"",69394,50,0.344,0.345,FALSE
2025,2026,ranks_only,3,stayer,<4.3,6623,46,0.386,0.315,FALSE
2025,2026,ranks_only,3,stayer,4.3-4.9,1143,61,0.241,0.443,FALSE
2025,2026,ranks_only,4,exiter,<4.3,29,,,,TRUE
2025,2026,ranks_only,4,exiter,4.3-4.9,297,51,0.343,0.367,FALSE
2025,2026,ranks_only,4,exiter,>=5.0,1583,60,0.235,0.45,FALSE
2025,2026,ranks_only,4,never_el,"",70188,49,0.35,0.34,FALSE
2025,2026,ranks_only,4,stayer,<4.3,4729,47,0.38,0.323,FALSE
2025,2026,ranks_only,4,stayer,4.3-4.9,2038,60,0.253,0.436,FALSE
2025,2026,ranks_only,4,stayer,>=5.0,12,,,,TRUE
2025,2026,ranks_only,5,exiter,<4.3,44,,,,TRUE
2025,2026,ranks_only,5,exiter,4.3-4.9,196,49,0.332,0.301,FALSE
2025,2026,ranks_only,5,exiter,>=5.0,1311,63,0.225,0.471,FALSE
2025,2026,ranks_only,5,never_el,"",72226,50,0.348,0.342,FALSE
2025,2026,ranks_only,5,stayer,<4.3,4234,44,0.397,0.307,FALSE
2025,2026,ranks_only,5,stayer,4.3-4.9,1861,59,0.263,0.417,FALSE
2025,2026,ranks_only,6,exiter,<4.3,52,29.5,0.558,0.288,FALSE
2025,2026,ranks_only,6,exiter,4.3-4.9,117,52,0.299,0.359,FALSE
2025,2026,ranks_only,6,exiter,>=5.0,85,58,0.329,0.435,FALSE
2025,2026,ranks_only,6,never_el,"",71654,50,0.347,0.344,FALSE
2025,2026,ranks_only,6,stayer,<4.3,5586,47,0.373,0.329,FALSE
2025,2026,ranks_only,6,stayer,4.3-4.9,609,57,0.279,0.414,FALSE
2025,2026,ranks_only,7,exiter,<4.3,75,32,0.52,0.227,FALSE
2025,2026,ranks_only,7,exiter,4.3-4.9,157,55,0.318,0.382,FALSE
2025,2026,ranks_only,7,exiter,>=5.0,182,59,0.236,0.412,FALSE
2025,2026,ranks_only,7,never_el,"",72292,50,0.348,0.342,FALSE
2025,2026,ranks_only,7,stayer,<4.3,5731,47,0.382,0.324,FALSE
2025,2026,ranks_only,7,stayer,4.3-4.9,829,59,0.258,0.416,FALSE
