YEAR_T,YEAR_T1,window,GRADE,role,WIDA_EXIT_BAND,N,suppress
2024,2025,primary,4,stayer,<4.3,4905,FALSE
2024,2025,primary,4,stayer,4.3-4.9,2068,FALSE
2024,2025,primary,4,stayer,>=5.0,14,FALSE
2024,2025,primary,5,attritor,<4.3,265,FALSE
2024,2025,primary,5,attritor,4.3-4.9,65,FALSE
2024,2025,primary,5,attritor,>=5.0,38,FALSE
2024,2025,primary,5,exiter,<4.3,43,FALSE
2024,2025,primary,5,exiter,4.3-4.9,175,FALSE
2024,2025,primary,5,exiter,>=5.0,1216,FALSE
2024,2025,primary,5,never_el,"",70595,FALSE
2024,2025,primary,5,stayer,<4.3,4024,FALSE
2024,2025,primary,5,stayer,4.3-4.9,1856,FALSE
2024,2025,primary,5,stayer,>=5.0,18,FALSE
2024,2025,primary,6,attritor,<4.3,355,FALSE
2024,2025,primary,6,attritor,4.3-4.9,27,FALSE
2024,2025,primary,6,exiter,<4.3,53,FALSE
2024,2025,primary,6,exiter,4.3-4.9,94,FALSE
2024,2025,primary,6,exiter,>=5.0,84,FALSE
2024,2025,primary,6,never_el,"",72313,FALSE
2024,2025,primary,6,stayer,<4.3,5664,FALSE
2024,2025,primary,6,stayer,4.3-4.9,641,FALSE
2024,2025,primary,7,attritor,<4.3,346,FALSE
2024,2025,primary,7,attritor,4.3-4.9,37,FALSE
2024,2025,primary,7,exiter,<4.3,46,FALSE
2024,2025,primary,7,exiter,4.3-4.9,94,FALSE
2024,2025,primary,7,exiter,>=5.0,142,FALSE
2024,2025,primary,7,never_el,"",72042,FALSE
2024,2025,primary,7,stayer,<4.3,5364,FALSE
2024,2025,primary,7,stayer,4.3-4.9,770,FALSE
2024,2025,primary,8,attritor,<4.3,5515,FALSE
2024,2025,primary,8,attritor,4.3-4.9,1091,FALSE
2024,2025,primary,8,attritor,>=5.0,232,FALSE
2025,2026,ranks_only,3,attritor,<4.3,1046,FALSE
2025,2026,ranks_only,3,attritor,4.3-4.9,63,FALSE
2025,2026,ranks_only,3,attritor,>=5.0,23,FALSE
2025,2026,ranks_only,3,exiter,<4.3,31,FALSE
2025,2026,ranks_only,3,exiter,4.3-4.9,430,FALSE
2025,2026,ranks_only,3,exiter,>=5.0,458,FALSE
2025,2026,ranks_only,3,never_el,"",69394,FALSE
2025,2026,ranks_only,3,stayer,<4.3,6623,FALSE
2025,2026,ranks_only,3,stayer,4.3-4.9,1143,FALSE
2025,2026,ranks_only,4,attritor,<4.3,364,FALSE
2025,2026,ranks_only,4,attritor,4.3-4.9,79,FALSE
2025,2026,ranks_only,4,attritor,>=5.0,56,FALSE
2025,2026,ranks_only,4,exiter,<4.3,29,FALSE
2025,2026,ranks_only,4,exiter,4.3-4.9,297,FALSE
2025,2026,ranks_only,4,exiter,>=5.0,1583,FALSE
2025,2026,ranks_only,4,never_el,"",70188,FALSE
2025,2026,ranks_only,4,stayer,<4.3,4729,FALSE
2025,2026,ranks_only,4,stayer,4.3-4.9,2038,FALSE
2025,2026,ranks_only,4,stayer,>=5.0,12,FALSE
2025,2026,ranks_only,5,attritor,<4.3,293,FALSE
2025,2026,ranks_only,5,attritor,4.3-4.9,78,FALSE
2025,2026,ranks_only,5,attritor,>=5.0,61,FALSE
2025,2026,ranks_only,5,exiter,<4.3,44,FALSE
2025,2026,ranks_only,5,exiter,4.3-4.9,196,FALSE
2025,2026,ranks_only,5,exiter,>=5.0,1311,FALSE
2025,2026,ranks_only,5,never_el,"",72226,FALSE
2025,2026,ranks_only,5,stayer,<4.3,4234,FALSE
2025,2026,ranks_only,5,stayer,4.3-4.9,1861,FALSE
2025,2026,ranks_only,6,attritor,<4.3,421,FALSE
2025,2026,ranks_only,6,attritor,4.3-4.9,36,FALSE
2025,2026,ranks_only,6,attritor,>=5.0,12,FALSE
2025,2026,ranks_only,6,exiter,<4.3,52,FALSE
2025,2026,ranks_only,6,exiter,4.3-4.9,117,FALSE
2025,2026,ranks_only,6,exiter,>=5.0,85,FALSE
2025,2026,ranks_only,6,never_el,"",71654,FALSE
2025,2026,ranks_only,6,stayer,<4.3,5586,FALSE
2025,2026,ranks_only,6,stayer,4.3-4.9,609,FALSE
2025,2026,ranks_only,7,attritor,<4.3,385,FALSE
2025,2026,ranks_only,7,attritor,4.3-4.9,39,FALSE
2025,2026,ranks_only,7,attritor,>=5.0,19,FALSE
2025,2026,ranks_only,7,exiter,<4.3,75,FALSE
2025,2026,ranks_only,7,exiter,4.3-4.9,157,FALSE
2025,2026,ranks_only,7,exiter,>=5.0,182,FALSE
2025,2026,ranks_only,7,never_el,"",72292,FALSE
2025,2026,ranks_only,7,stayer,<4.3,5731,FALSE
2025,2026,ranks_only,7,stayer,4.3-4.9,829,FALSE
2025,2026,ranks_only,8,attritor,<4.3,5619,FALSE
2025,2026,ranks_only,8,attritor,4.3-4.9,1248,FALSE
2025,2026,ranks_only,8,attritor,>=5.0,297,FALSE
